source,target
506,842
726,839
807,579
969,820
830,959
552,682
743,725
592,591
741,518
911,826
895,980
839,986
593,887
622,635
956,599
862,612
696,534
748,955
673,657
724,984
714,512
699,916
921,828
736,746
957,840
623,918
823,875
969,780
720,713
748,726
529,646
819,701
751,610
705,594
851,548
988,882
730,709
611,948
919,798
958,966
562,907
562,726
880,704
673,952
746,628
564,517
1000,891
920,550
577,825
903,786
977,817
717,985
998,595
763,887
512,765
799,605
905,513
817,792
807,571
760,910
662,531
622,553
743,946
552,764
930,762
609,963
648,582
548,865
999,707
501,728
968,651
588,941
741,732
652,957
696,834
554,716
863,927
596,874
846,917
637,587
596,848
953,580
806,713
905,946
528,905
661,983
676,736
956,793
865,976
953,773
995,603
940,918
928,591
712,805
773,954
676,690
953,539
875,783
608,683
761,994
912,554
576,636
766,819
843,969
528,915
845,961
699,513
577,893
851,709
720,857
945,604
842,833
648,546
513,518
766,742
767,973
705,676
787,600
529,850
895,846
928,844
623,980
576,959
957,705
698,635
515,768
644,540
605,700
827,858
776,880
975,694
952,853
670,818
655,553
596,683
865,637
720,787
871,614
636,809
669,768
804,709
876,803
652,961
542,715
693,842
804,768
512,912
804,894
688,840
945,658
515,989
948,913
740,818
902,930
832,512
944,571
663,744
737,671
712,902
576,741
534,981
636,531
999,544
741,761
549,602
935,809
941,982
898,871
766,571
958,717
676,665
990,533
652,552
676,530
533,759
783,624
982,802
777,930
905,730
815,655
740,726
602,732
663,584
953,689
799,684
745,936
576,814
1000,855
861,797
748,549
863,503
858,835
720,554
529,796
901,697
564,805
694,711
550,590
520,944
797,502
540,536
899,551
690,755
730,577
817,618
850,818
961,920
688,945
565,925
685,845
596,705
674,878
696,567
608,650
971,555
795,789
858,793
746,753
830,835
756,679
720,611
552,925
598,845
987,805
549,675
658,667
610,771
564,585
515,847
798,688
799,917
712,841
839,528
675,673
687,682
546,505
890,699
624,942
835,995
946,945
799,872
763,525
652,605
583,557
630,623
968,871
819,871
760,738
610,905
513,829
865,510
751,724
875,733
973,743
766,677
570,1000
564,848
799,713
773,840
737,906
894,749
696,840
783,752
609,585
854,805
695,539
863,680
637,763
774,703
569,519
620,721
579,502
798,691
546,833
988,764
693,789
630,752
740,537
856,640
775,727
720,890
588,792
897,879
865,608
508,672
564,980
643,598
572,784
564,847
921,629
994,836
990,614
608,994
622,974
865,505
614,658
636,889
514,828
552,878
505,514
930,643
862,699
673,650
668,560
552,535
753,775
942,725
995,812
565,550
673,597
585,959
951,580
848,604
735,758
740,627
933,589
760,662
707,964
664,611
898,544
507,955
605,551
596,770
799,973
676,996
549,542
695,833
735,986
623,867
740,564
990,665
875,741
938,847
720,904
724,620
903,837
676,924
608,733
975,728
995,515
676,701
743,847
799,852
991,654
550,548
527,617
757,699
796,959
655,877
827,998
696,741
741,721
676,721
661,500
676,841
528,596
585,765
654,895
556,990
850,526
576,924
529,683
581,997
517,995
753,914
940,960
609,796
645,811
655,501
662,599
711,565
856,821
614,627
629,933
968,694
529,741
842,764
608,938
741,574
746,535
821,896
806,653
517,773
623,905
780,639
562,873
751,511
648,581
806,903
676,915
799,547
921,609
546,564
657,563
826,741
705,770
572,823
614,760
805,911
696,771
505,690
823,861
988,931
737,535
663,633
783,937
956,508
953,858
766,736
596,971
610,533
927,727
875,719
995,977
513,1000
999,648
928,627
506,729
675,777
757,889
655,503
679,531
995,671
898,975
627,934
564,997
919,997
975,618
552,904
643,853
569,793
982,750
712,951
673,593
835,908
673,706
952,807
822,559
748,612
748,972
662,863
748,743
945,813
850,544
740,666
726,881
866,926
527,866
673,984
661,702
761,612
611,937
735,997
920,739
745,642
525,677
688,879
990,956
898,763
514,751
526,531
850,691
623,925
614,504
899,630
707,984
552,551
518,897
985,519
865,843
707,538
622,970
556,679
853,669
724,645
994,842
698,963
542,852
828,634
671,625
696,902
743,944
624,688
570,590
829,962
982,920
875,505
898,875
540,796
564,665
580,827
776,749
903,643
953,674
718,670
945,832
