node,degree,degree_centrality,closeness_centrality,betweness_centrality,eigenvector_centrality,clustering
0,347,8.59E-02,3.54E-01,0,-1.38E-18,4.20E-02
1,17,4.21E-03,1.65E-01,0,1.95E-18,4.19E-01
2,10,2.48E-03,3.68E-03,0,4.60E-18,8.89E-01
3,17,4.21E-03,1.54E-01,0,3.82E-18,6.32E-01
4,10,2.48E-03,2.10E-03,0,5.19E-19,8.67E-01
5,13,3.22E-03,1.32E-01,0,1.83E-18,3.33E-01
6,6,1.49E-03,1.27E-03,0,-2.48E-18,9.33E-01
7,20,4.95E-03,1.38E-01,0,1.33E-18,4.32E-01
8,8,1.98E-03,1.73E-03,0,-4.27E-19,6.79E-01
9,57,1.41E-02,1.77E-01,4.15E-05,-5.43E-19,3.97E-01
10,10,2.48E-03,1.50E-01,0,-1.02E-18,8.22E-01
11,1,2.48E-04,0,0,-2.43E-18,0
12,1,2.48E-04,0,0,4.38E-18,0
13,31,7.68E-03,1.76E-01,0,3.49E-18,6.52E-01
14,15,3.71E-03,4.73E-03,0,2.67E-18,7.43E-01
15,1,2.48E-04,0,0,-4.02E-19,0
16,9,2.23E-03,1.40E-01,0,3.14E-18,6.67E-01
17,13,3.22E-03,6.80E-03,0,2.23E-18,7.31E-01
18,1,2.48E-04,0,0,1.24E-18,0
19,16,3.96E-03,8.05E-03,2.97E-06,-5.55E-19,2.83E-01
20,15,3.71E-03,4.41E-03,7.16E-07,2.79E-18,6.86E-01
21,65,1.61E-02,1.84E-01,3.20E-05,-4.20E-18,3.49E-01
22,11,2.72E-03,5.80E-02,2.47E-07,1.22E-18,4.73E-01
23,17,4.21E-03,1.04E-02,0,-1.47E-18,1.69E-01
24,16,3.96E-03,1.54E-01,0,3.26E-18,9.00E-01
25,69,1.71E-02,1.76E-01,4.63E-05,-2.25E-18,2.89E-01
26,68,1.68E-02,1.74E-01,4.32E-05,-3.73E-18,4.11E-01
27,5,1.24E-03,1.63E-01,0,2.86E-18,9.00E-01
28,13,3.22E-03,4.18E-03,1.53E-08,2.48E-18,7.69E-01
29,13,3.22E-03,1.46E-01,1.81E-05,-3.72E-18,4.62E-01
30,17,4.21E-03,1.64E-01,1.05E-06,1.95E-18,5.00E-01
31,23,5.70E-03,1.50E-01,1.09E-04,-4.85E-19,4.35E-01
32,6,1.49E-03,2.22E-03,0,3.72E-18,1.00E+00
33,2,4.95E-04,2.48E-04,0,1.68E-20,1.00E+00
34,5,1.24E-03,2.11E-01,5.86E-06,3.36E-18,6.00E-01
35,2,4.95E-04,2.49E-03,0,6.70E-19,1.00E+00
36,11,2.72E-03,4.98E-03,0,9.18E-19,9.64E-01
37,1,2.48E-04,0,0,1.89E-18,0
38,9,2.23E-03,7.99E-03,4.39E-07,-3.33E-18,3.61E-01
39,15,3.71E-03,1.63E-01,1.14E-07,6.95E-19,4.95E-01
40,44,1.09E-02,1.52E-01,7.15E-05,1.95E-18,4.05E-01
41,24,5.94E-03,5.18E-03,2.87E-06,-5.61E-18,4.67E-01
42,2,4.95E-04,0,0,-1.40E-19,1.00E+00
