source,target
995,715
765,972
546,912
941,695
923,519
730,830
899,868
604,796
738,886
520,572
954,612
946,562
586,522
626,852
536,582
981,760
513,665
779,896
958,789
745,559
756,664
508,514
877,999
606,891
767,691
771,986
932,671
624,586
586,502
947,941
997,789
602,818
834,631
771,886
508,954
561,928
902,880
759,540
714,938
767,755
912,824
959,673
693,662
871,654
684,643
935,851
849,533
561,996
675,828
749,766
759,837
777,768
545,715
542,653
859,511
820,713
619,503
665,628
696,876
570,814
827,877
899,880
588,743
776,548
930,792
506,518
607,521
669,957
676,548
777,682
578,514
848,505
538,594
720,620
619,628
608,501
936,851
766,702
828,723
690,632
533,907
893,547
885,502
513,619
700,915
550,584
995,762
704,856
552,975
864,551
607,694
544,723
649,784
916,507
878,646
671,747
614,803
645,591
622,903
665,778
902,926
858,881
995,885
572,957
935,791
738,811
912,681
681,984
570,789
766,868
622,954
797,907
720,618
797,522
962,610
616,719
763,649
681,939
545,845
981,735
825,571
996,747
971,972
838,639
882,790
979,644
847,503
586,651
857,517
874,987
966,677
601,753
555,616
572,954
684,792
684,678
971,716
557,940
785,554
536,556
787,512
519,805
614,921
606,631
776,833
946,707
546,672
821,708
827,780
722,926
614,817
641,794
675,635
995,542
910,599
564,967
837,974
871,994
930,563
898,851
832,869
904,668
991,785
752,906
745,767
672,787
831,836
915,855
791,961
913,958
647,662
752,958
756,857
665,505
645,955
714,871
520,537
536,898
542,909
935,924
551,891
779,965
986,573
787,836
645,949
700,646
537,570
995,636
847,730
527,710
954,960
508,734
696,532
875,845
910,639
604,919
978,962
545,687
843,720
782,682
736,648
837,986
596,953
676,779
508,791
732,693
971,610
851,675
837,832
802,574
698,819
658,601
731,529
683,710
500,561
904,947
916,764
824,614
590,883
564,718
527,519
824,662
720,805
981,547
632,510
930,672
669,775
770,761
874,819
633,763
737,611
909,680
816,969
586,845
875,991
873,768
988,702
564,802
542,884
523,686
565,926
652,935
917,792
626,956
652,528
697,757
958,839
767,529
991,985
908,795
856,561
710,956
789,705
745,648
690,553
871,803
675,597
683,842
951,825
991,962
960,857
853,996
734,779
626,692
815,974
530,660
993,529
782,816
898,558
536,876
577,859
780,784
825,668
754,805
544,939
837,721
966,580
851,607
844,700
969,923
649,747
871,800
941,543
770,894
770,641
936,542
693,789
632,932
818,726
800,772
936,727
837,898
936,790
545,629
766,755
758,923
685,839
829,578
711,662
521,821
588,991
831,945
684,511
668,511
936,630
756,561
843,565
644,975
717,764
981,711
916,915
683,841
946,903
538,621
776,948
560,880
766,726
966,986
995,635
759,879
877,570
893,957
508,642
545,681
911,524
898,565
971,890
533,905
733,553
824,877
552,754
800,599
818,825
759,729
986,954
885,647
546,515
815,973
825,760
559,817
829,825
954,828
899,750
759,749
873,691
559,924
577,723
844,996
606,776
737,847
700,773
961,500
542,771
988,504
671,944
873,957
770,985
582,988
519,873
960,551
898,940
831,769
608,591
537,700
993,546
961,960
820,599
674,823
825,745
720,552
847,938
544,905
763,643
607,770
722,784
597,762
821,864
570,620
541,547
658,562
696,811
756,939
770,785
971,906
910,566
934,625
674,707
814,655
544,674
505,588
899,704
645,592
911,608
781,664
759,572
582,801
864,578
995,709
701,811
838,920
570,748
910,864
722,943
676,638
817,858
717,921
593,725
542,572
523,588
669,981
632,845
559,847
736,654
930,970
559,665
749,932
550,797
911,589
536,923
961,999
602,885
837,831
824,721
960,801
853,774
669,788
855,682
693,767
971,652
698,886
661,888
811,864
814,967
763,757
619,606
645,584
854,948
960,747
527,850
619,534
992,504
678,859
754,837
533,750
776,930
873,748
613,785
980,644
550,623
912,949
645,560
781,952
912,882
749,971
619,719
684,776
524,575
974,591
871,910
776,950
946,713
827,887
669,588
934,952
759,661
991,693
691,863
910,508
524,871
911,504
979,544
835,929
759,589
981,604
536,888
504,712
832,839
690,851
522,760
731,958
560,681
980,737
685,858
877,670
866,509
745,804
572,911
847,732
944,659
679,994
722,808
954,708
734,952
552,946
904,708
720,819
613,846
797,501
527,873
