source,target
925,659
589,912
746,953
562,536
561,695
990,930
836,700
771,680
509,888
761,681
855,775
850,516
747,683
864,926
817,543
916,559
637,997
978,845
965,568
726,586
991,505
938,750
894,979
824,949
654,739
904,799
996,929
897,584
909,868
559,855
554,662
946,715
514,683
594,598
916,977
833,825
748,951
657,889
969,602
611,681
682,515
662,666
942,663
858,863
687,507
692,923
827,540
725,722
833,996
846,645
925,524
909,975
725,748
769,702
598,731
778,721
765,726
698,996
950,714
528,894
830,857
548,564
761,807
682,774
743,709
822,637
508,978
710,593
870,589
994,908
927,668
507,957
931,599
558,906
778,552
515,909
721,953
589,886
795,529
963,991
884,515
971,975
881,554
769,678
780,913
792,861
610,762
564,861
624,820
525,519
759,784
835,956
974,751
501,811
900,640
730,873
823,749
713,576
592,851
657,750
934,672
946,605
978,506
517,822
700,575
928,558
857,872
576,875
944,518
966,825
548,692
574,949
757,743
656,671
537,534
953,896
953,747
896,1000
933,861
697,511
683,602
765,573
885,805
996,526
713,868
928,740
894,856
627,645
594,629
803,957
762,775
663,592
996,518
662,958
974,605
961,984
832,793
637,881
989,543
971,721
928,593
767,518
697,585
505,939
559,704
514,993
692,923
933,772
508,512
665,769
792,883
593,695
937,564
629,892
713,816
656,679
795,518
687,849
527,667
562,875
983,876
558,919
859,766
950,912
946,891
642,578
685,830
611,910
666,520
705,995
726,718
914,761
765,953
677,643
797,725
520,760
578,586
829,505
722,628
974,508
907,802
965,748
789,635
868,610
604,948
985,676
721,711
777,747
978,720
876,514
700,827
508,931
564,651
527,708
556,539
787,672
596,544
928,510
554,954
537,753
989,625
514,616
756,637
632,727
629,987
593,931
641,605
894,712
537,691
999,845
704,600
641,607
933,901
907,531
559,931
982,537
501,922
733,939
552,638
528,814
548,536
924,663
641,866
827,867
687,602
753,817
602,947
837,905
990,985
908,532
980,962
602,653
722,699
867,832
795,565
581,839
817,928
694,555
731,705
994,816
641,867
762,555
526,614
710,575
656,577
984,614
897,898
790,573
757,979
904,887
906,601
943,876
613,728
691,763
719,934
537,780
906,617
665,977
637,646
946,644
980,971
996,602
895,606
641,884
587,878
760,918
718,644
514,596
668,543
611,646
867,741
815,633
994,700
595,521
663,763
844,553
694,576
990,709
797,937
761,629
913,907
622,732
627,582
965,775
653,685
695,854
993,932
633,553
756,573
948,774
983,873
601,751
694,614
574,749
663,947
944,760
637,937
616,959
920,896
629,915
974,877
559,521
946,832
743,775
561,593
589,766
698,848
983,942
776,623
624,760
761,722
713,904
507,943
632,882
897,641
603,961
523,793
961,923
990,741
829,816
578,927
855,616
666,929
505,837
653,942
718,906
938,747
675,820
765,844
759,918
967,660
907,641
718,725
753,606
637,809
625,826
719,872
593,777
764,731
791,809
502,607
837,771
882,539
731,992
897,991
615,815
662,551
623,579
698,732
934,862
824,922
752,760
774,787
944,803
753,627
969,613
719,850
654,500
896,859
836,725
791,835
817,904
559,758
797,959
845,763
835,889
710,948
884,550
564,776
778,520
637,944
501,658
717,724
564,984
649,628
907,680
617,932
666,959
791,978
953,930
996,670
844,631
640,675
601,761
967,640
771,891
697,551
616,578
938,524
704,523
928,799
752,501
682,704
567,941
844,778
946,835
833,808
700,777
913,930
501,642
707,814
502,719
734,906
545,920
514,901
565,870
916,886
961,674
556,920
694,547
642,723
928,653
532,691
666,602
691,864
653,577
700,970
870,677
592,592
965,885
602,794
980,866
525,628
796,665
719,800
664,728
762,726
925,834
946,629
937,679
996,611
627,979
525,701
916,680
784,641
642,764
569,812
707,822
578,501
764,649
983,627
953,908
548,786
887,790
731,557
907,950
997,506
593,692
771,731
562,982
683,633
823,979
735,737
898,775
836,885
534,702
545,913
944,643
719,547
622,889
990,633
589,714
833,574
656,735
608,779
982,527
534,831
790,626
654,659
803,762
907,671
956,564
726,918
983,534
665,538
585,574
683,824
953,804
817,660
545,802
898,653
537,748
558,851
622,634
514,730
765,760
824,619
576,637
779,981
918,756
747,855
559,760
523,606
835,821
555,535
928,920
993,634
534,717
867,798
