node,degree,degree_centrality,closeness_centrality,betweness_centrality,eigenvector_centrality,clustering
4098,1,2.26E-03,2.26E-03,0,5.41E-18,0
4100,2,4.52E-03,4.52E-03,0,2.29E-20,0
5,2,4.52E-03,0,0,-6.89E-18,0
2,1,2.26E-03,0,0,-2.34E-17,0
18,11,2.49E-02,0,0,6.21E-18,0
4117,1,2.26E-03,2.26E-03,0,-2.76E-18,0
22,2,4.52E-03,4.52E-03,0,9.43E-18,0
23,1,2.26E-03,0,0,2.87E-17,0
24,1,2.26E-03,2.26E-03,0,3.47E-18,0
25,1,2.26E-03,0,0,2.54E-18,0
26,12,2.71E-02,2.49E-02,5.64E-05,1.82E-18,4.55E-02
27,29,6.56E-02,0,0,6.10E-17,2.46E-02
28,1,2.26E-03,2.26E-03,0,-3.30E-18,0
346,1,2.26E-03,0,0,-1.30E-17,0
30,4,9.05E-03,9.05E-03,0,-3.62E-18,0
31,44,9.95E-02,0,0,1.27E-16,0
32,1,2.26E-03,2.26E-03,0,-1.25E-18,0
4129,1,2.26E-03,2.26E-03,0,-8.72E-19,0
34,12,2.71E-02,2.71E-02,0,4.32E-19,0
35,1,2.26E-03,0,0,5.30E-18,0
4133,1,2.26E-03,2.26E-03,0,-7.44E-18,0
38,1,2.26E-03,0,0,5.63E-18,0
40,1,2.26E-03,0,0,6.36E-18,0
42,1,2.26E-03,2.26E-03,0,7.33E-18,0
43,1,2.26E-03,2.26E-03,0,-2.80E-17,0
44,1,2.26E-03,0,0,-1.38E-17,0
45,1,2.26E-03,2.26E-03,0,5.92E-19,0
46,11,2.49E-02,6.79E-03,1.23E-04,-2.71E-17,0
47,1,2.26E-03,0,0,-8.31E-17,0
48,1,2.26E-03,2.26E-03,0,1.11E-17,0
49,1,2.26E-03,2.26E-03,0,-1.24E-17,0
52,1,2.26E-03,2.26E-03,0,1.89E-18,0
54,10,2.26E-02,2.26E-02,0,-1.04E-17,6.67E-02
55,4,9.05E-03,2.26E-03,0,-1.39E-17,5.00E-01
56,4,9.05E-03,2.26E-03,0,-7.92E-17,5.00E-01
59,1,2.26E-03,2.26E-03,0,1.20E-18,0
60,1,2.26E-03,2.26E-03,0,-4.32E-20,0
61,8,1.81E-02,1.81E-02,0,-3.52E-18,3.57E-02
62,4,9.05E-03,0,0,-1.03E-16,0
64,1,2.26E-03,2.26E-03,0,-8.11E-18,0
65,1,2.26E-03,2.26E-03,0,1.62E-18,0
66,2,4.52E-03,4.52E-03,0,2.02E-17,0
67,1,2.26E-03,0,0,2.67E-17,0
68,5,1.13E-02,2.26E-03,0,-9.16E-17,4.00E-01
69,16,3.62E-02,0,0,2.45E-01,0
73,1,2.26E-03,2.26E-03,0,4.56E-18,0
4170,1,2.26E-03,2.26E-03,0,-2.63E-18,0
75,13,2.94E-02,0,0,-1.60E-17,0
4175,1,2.26E-03,2.26E-03,0,1.94E-18,0
81,20,4.52E-02,0,0,-1.23E-18,0
83,10,2.26E-02,2.26E-02,0,8.95E-18,0
4187,1,2.26E-03,2.26E-03,0,5.86E-18,0
4191,2,4.52E-03,4.52E-03,0,-1.82E-18,0
4193,3,6.79E-03,6.79E-03,0,1.22E-17,0
4194,1,2.26E-03,2.26E-03,0,9.63E-18,0
4195,2,4.52E-03,4.52E-03,0,-8.58E-18,0
358,1,2.26E-03,2.26E-03,0,5.17E-18,0
4200,2,4.52E-03,4.52E-03,0,-1.53E-17,0
4204,1,2.26E-03,2.26E-03,0,-3.28E-18,0
4114,1,2.26E-03,2.26E-03,0,-4.34E-19,0
113,1,2.26E-03,0,0,-8.25E-18,0
114,1,2.26E-03,0,0,-1.47E-17,0
116,1,2.26E-03,2.26E-03,0,-8.39E-18,0
117,1,2.26E-03,2.26E-03,0,-1.56E-18,0
118,1,2.26E-03,0,0,-1.18E-16,0
4216,1,2.26E-03,2.26E-03,0,-6.88E-18,0
4218,1,2.26E-03,2.26E-03,0,2.95E-19,0
4220,1,2.26E-03,2.26E-03,0,2.15E-19,0
4223,2,4.52E-03,4.52E-03,0,2.76E-18,0
4228,4,9.05E-03,0,0,2.61E-19,0
146,1,2.26E-03,0,0,1.89E-17,0
4246,1,2.26E-03,2.26E-03,0,-3.53E-18,0
151,11,2.49E-02,2.49E-02,0,-2.25E-17,5.45E-02
155,1,2.26E-03,2.26E-03,0,-5.68E-18,0
163,1,2.26E-03,2.26E-03,0,7.40E-18,0
165,4,9.05E-03,0,0,-8.21E-17,0
166,4,9.05E-03,0,0,-9.14E-17,0
167,2,4.52E-03,4.52E-03,0,7.76E-19,0
168,2,4.52E-03,0,0,3.28E-17,0
169,1,2.26E-03,0,0,-1.35E-17,0
4266,3,6.79E-03,6.79E-03,0,8.96E-18,0
172,1,2.26E-03,0,0,-4.47E-18,0
176,1,2.26E-03,2.26E-03,0,-1.87E-18,0
177,2,4.52E-03,0,0,1.77E-17,0
178,4,9.05E-03,0,0,-8.54E-17,0
179,1,2.26E-03,2.26E-03,0,1.14E-17,0
180,1,2.26E-03,0,0,1.84E-17,0
182,2,4.52E-03,5.66E-03,0,2.45E-01,0
185,1,2.26E-03,2.26E-03,0,-7.87E-18,0
186,1,2.26E-03,0,0,5.69E-18,0
187,1,2.26E-03,0,0,2.45E-01,0
188,1,2.26E-03,2.26E-03,0,-2.52E-18,0
4285,1,2.26E-03,2.26E-03,0,3.32E-18,0
190,1,2.26E-03,0,0,1.81E-17,0
191,1,2.26E-03,2.26E-03,0,8.57E-19,0
192,1,2.26E-03,0,0,2.06E-18,0
193,1,2.26E-03,2.26E-03,0,1.55E-17,0
194,1,2.26E-03,2.26E-03,0,4.85E-18,0
4291,1,2.26E-03,2.26E-03,0,5.99E-18,0
196,4,9.05E-03,0,0,-8.35E-17,0
198,88,1.99E-01,0,0,-5.93E-18,0
33,1,2.26E-03,2.26E-03,0,-5.25E-19,0
4296,2,4.52E-03,4.52E-03,0,8.13E-18,0
4297,3,6.79E-03,6.79E-03,0,-9.10E-18,0
202,1,2.26E-03,0,0,1.10E-17,0
204,1,2.26E-03,0,0,2.45E-01,0
205,1,2.26E-03,0,0,4.03E-17,0
206,2,4.52E-03,4.52E-03,0,3.80E-19,0
207,4,9.05E-03,0,0,-1.21E-16,0
208,1,2.26E-03,0,0,2.05E-19,0
210,1,2.26E-03,2.26E-03,0,4.04E-18,0
211,31,7.01E-02,0,0,6.86E-17,0
212,1,2.26E-03,2.26E-03,0,7.14E-18,0
213,1,2.26E-03,0,0,2.03E-17,0
4313,3,6.79E-03,6.79E-03,0,2.54E-20,0
219,1,2.26E-03,2.26E-03,0,2.42E-18,0
220,1,2.26E-03,0,0,1.46E-17,0
4317,1,2.26E-03,2.26E-03,0,-4.28E-18,0
4319,1,2.26E-03,0,0,9.92E-18,0
224,1,2.26E-03,0,0,-2.28E-17,0
225,4,9.05E-03,9.05E-03,0,-5.93E-18,0
4322,3,6.79E-03,6.79E-03,0,-7.47E-18,0
227,1,2.26E-03,0,0,1.08E-17,0
228,1,2.26E-03,0,0,-7.81E-19,0
230,1,2.26E-03,2.26E-03,0,-3.81E-18,0
231,1,2.26E-03,2.26E-03,0,-3.94E-18,0
